coldata$id X3543.CF.1 X3543.CF.198 X3543.CF.221 X3543.CF.274 X3543.CF.249 X3543.CF.145 X3543.CF.294 X3543.CF.253 X3543.CF.201
ENSG00000007923 185 234 154 255 461 229 333 440 281
ENSG00000007944 113 194 160 127 250 141 223 311 262
ENSG00000007968 263 124 133 305 253 182 198 416 124
ENSG00000008018 310 376 271 351 475 228 417 665 350
ENSG00000008056 7 3 7 1 9 7 2 8 1
ENSG00000008083 1199 1306 1400 722 1009 770 859 1588 917
ENSG00000008086 85 64 97 53 85 35 68 90 98
ENSG00000008118 3 0 0 0 0 0 0 0 0
ENSG00000008128 243 246 446 417 467 162 255 1078 410
ENSG00000008130 1146 1482 1535 1384 1988 891 1644 2794 1738
ENSG00000008196 1 0 1 0 0 0 0 0 0
ENSG00000008197 0 0 0 0 0 0 0 0 0
ENSG00000008226 21 92 33 11 32 12 64 28 41
ENSG00000008256 59 71 94 82 87 38 65 84 88
ENSG00000008277 5 23 20 41 21 22 57 56 48
ENSG00000008282 111 111 97 154 144 45 104 131 130
ENSG00000008283 37 92 60 79 140 71 128 111 85
ENSG00000008294 621 751 699 513 898 248 771 1165 710
ENSG00000008300 43 33 20 2 36 4 35 54 34
ENSG00000008311 7 8 15 0 5 3 18 22 17
ENSG00000008323 9 4 12 6 24 2 24 18 15
ENSG00000008324 27 33 33 31 74 24 59 58 61
ENSG00000008382 80 109 88 98 136 87 121 171 93
ENSG00000008394 144 128 118 82 50 67 70 177 84
ENSG00000008405 48 139 38 91 125 40 126 167 82
ENSG00000008438 30 11 2 20 0 0 59 0 6
ENSG00000008441 97 93 109 252 110 83 115 149 139
ENSG00000008513 683 1016 818 708 1036 510 1037 1550 810
ENSG00000008516 160 134 289 56 94 34 117 215 147
ENSG00000008517 102 584 431 1476 1544 2006 1705 2118 1385
ENSG00000008710 260 550 361 387 580 238 492 655 447
ENSG00000008735 1 0 0 5 0 4 1 0 0
ENSG00000008838 236 268 220 253 421 196 372 552 377
ENSG00000008853 74 97 83 78 245 184 112 177 140
ENSG00000008869 408 590 348 420 705 338 537 813 572
ENSG00000008952 627 700 710 893 641 375 655 991 690
ENSG00000008988 2017 2672 1768 2919 2846 3214 2331 3530 2601
ENSG00000009307 4455 3728 4761 3425 3983 2261 3045 5944 3496
ENSG00000009335 481 593 559 577 844 360 657 1036 731
ENSG00000009413 602 495 989 494 642 216 614 1026 483
ENSG00000009694 21 101 94 78 305 33 149 184 130
ENSG00000009709 3 0 0 0 0 1 0 0 0
ENSG00000009724 10 46 23 23 42 21 38 72 32
ENSG00000009765 0 0 0 0 0 0 0 0 0
ENSG00000009780 101 98 62 157 110 80 96 160 104
ENSG00000009790 669 1622 1040 1511 2108 1092 1826 2526 1766
ENSG00000009830 21 54 34 48 67 5 37 43 35
ENSG00000009844 143 202 192 273 298 103 258 466 179
ENSG00000009950 0 0 3 2 2 0 0 0 0
ENSG00000009954 786 1141 871 918 1809 894 1621 2286 1405
ENSG00000010017 572 429 405 457 558 292 436 739 403
ENSG00000010030 21 11 20 31 57 46 135 48 27
ENSG00000010072 67 147 113 125 134 98 190 174 159
ENSG00000010165 96 110 93 125 202 148 135 234 101
ENSG00000010219 24 67 32 54 93 43 24 77 63
ENSG00000010244 1199 1406 1397 1346 2305 871 1648 2865 1645
ENSG00000010256 548 563 563 596 799 526 530 862 574
ENSG00000010270 230 166 247 187 188 80 137 358 136
ENSG00000010278 724 252 725 352 329 293 94 229 123
ENSG00000010292 422 521 443 543 942 606 443 1196 526
ENSG00000010295 311 596 411 294 523 154 482 756 509
ENSG00000010310 0 3 5 1 14 4 25 10 12
ENSG00000010318 17 42 38 49 37 26 34 52 48
ENSG00000010319 0 15 2 0 8 0 13 54 8
ENSG00000010322 680 773 892 444 798 343 786 1297 717
ENSG00000010327 3245 3030 4283 1713 755 409 2376 5951 2197
ENSG00000010361 18 20 14 24 46 15 21 29 19
ENSG00000010379 1 1 0 0 2 0 0 1 1
ENSG00000010404 917 1019 1011 1080 1104 781 1185 1712 1135
ENSG00000010438 0 0 0 0 0 0 0 0 0
ENSG00000010539 24 98 75 62 106 61 75 160 67
ENSG00000010610 1152 2144 1057 1776 2545 1497 1749 2822 2534
ENSG00000010626 17 19 21 8 26 3 21 17 2
ENSG00000010671 921 833 1025 655 904 373 543 1092 543
ENSG00000010704 38 132 110 62 63 68 54 102 54
ENSG00000010803 74 93 43 80 79 65 80 115 72
ENSG00000010810 1433 1760 1743 1785 2704 1505 2194 3714 1742
ENSG00000010818 313 826 591 712 1440 598 810 1538 1010
ENSG00000011007 348 409 519 405 513 452 588 818 617
ENSG00000011009 178 186 190 130 242 165 211 321 199
ENSG00000011021 212 200 242 110 240 81 216 243 304
ENSG00000011028 3 2 2 31 3 0 18 18 7
ENSG00000011052 3 0 0 0 0 0 3 28 18
ENSG00000011083 5 0 0 0 0 0 0 0 0
ENSG00000011105 245 177 527 104 60 51 14 177 36
ENSG00000011114 297 457 338 313 392 170 408 606 402
ENSG00000011132 80 97 107 110 208 148 100 217 129
ENSG00000011143 25 56 28 27 42 30 44 81 43
ENSG00000011198 425 250 328 167 257 131 200 528 209
ENSG00000011201 1 18 1 5 0 0 0 6 1
ENSG00000011243 313 560 384 360 498 241 422 767 452
ENSG00000011258 492 363 572 327 442 120 270 619 328
ENSG00000011260 178 271 196 158 305 191 235 408 267
ENSG00000011275 464 897 612 577 925 502 966 1209 866
ENSG00000011295 273 336 259 271 362 102 360 507 339
ENSG00000011304 1111 1281 1261 977 1801 1016 1113 2057 1203
ENSG00000011332 2 0 0 0 3 3 0 0 1
ENSG00000011347 2 0 0 0 0 0 0 0 0
ENSG00000011376 83 128 88 108 251 111 188 265 200
ENSG00000011405 360 360 358 387 555 159 500 801 380
ENSG00000011422 1681 1216 784 423 561 270 544 862 690
ENSG00000011426 35 23 11 53 64 33 13 69 12
ENSG00000011451 273 353 225 228 380 192 300 493 315
ENSG00000011454 420 468 508 401 559 309 411 820 438
ENSG00000011465 2 0 0 0 0 0 0 0 0
ENSG00000011478 15 24 6 17 24 25 15 20 50
ENSG00000011485 227 278 158 231 304 193 440 509 304
ENSG00000011523 220 268 242 242 287 166 266 334 294
ENSG00000011566 102 112 90 113 144 52 116 194 110
ENSG00000011590 3 1 4 0 34 26 5 50 13
ENSG00000011600 2629 3694 3258 2588 3387 2781 3004 5113 3284
ENSG00000011638 68 69 53 56 42 46 40 73 22
ENSG00000012048 81 51 60 75 235 61 90 225 106
ENSG00000012061 209 427 237 296 331 237 259 454 282
ENSG00000012124 69 10 2 27 14 339 5 1 21
ENSG00000012171 3 0 3 0 10 0 2 5 0
ENSG00000012174 53 46 50 55 85 58 81 66 73
ENSG00000012211 136 128 135 122 119 109 186 141 106
ENSG00000012223 188 7 174 75 0 7 123 4 13
ENSG00000012232 271 358 349 218 402 272 384 624 298
ENSG00000012660 598 653 585 779 981 591 603 1240 859
ENSG00000012779 1908 1654 2822 1167 1862 807 1525 2663 1359
ENSG00000012817 412 0 0 545 22 0 894 1219 840
ENSG00000012822 771 980 1292 798 944 564 891 1459 788
ENSG00000012963 79 122 109 118 228 192 154 279 151
ENSG00000012983 479 334 631 323 436 148 309 545 332
ENSG00000013016 1026 323 2412 482 187 369 84 597 124
ENSG00000013275 285 373 285 344 451 376 374 463 322
ENSG00000013288 601 784 632 519 840 510 902 1333 816
ENSG00000013293 0 0 0 0 0 4 0 0 0
ENSG00000013306 335 198 271 1375 266 143 250 303 213
ENSG00000013364 1051 1244 1414 1417 2009 1184 1526 2487 1594
ENSG00000013374 303 510 420 477 828 509 816 915 644
ENSG00000013375 54 118 91 106 107 41 104 164 92
ENSG00000013392 8 15 9 30 13 22 25 19 13
ENSG00000013441 878 1067 527 756 748 237 881 1110 824
ENSG00000013503 38 53 60 51 124 64 66 75 83
ENSG00000013523 80 142 121 143 207 83 125 176 155
ENSG00000013561 179 172 239 368 289 139 236 336 227
ENSG00000013563 286 279 319 242 321 173 191 385 230
ENSG00000013573 80 197 20 149 212 88 157 269 35
ENSG00000013583 151 177 207 169 134 95 112 207 165
ENSG00000013588 2 0 1 0 0 11 0 1 0
ENSG00000013619 18 7 11 10 5 14 31 22 3
ENSG00000013725 61 273 218 595 703 574 942 440 499
ENSG00000013810 1017 1123 1390 968 1068 722 814 1787 1184
ENSG00000014123 244 300 258 326 431 194 382 510 476
ENSG00000014138 74 107 66 114 197 30 59 230 141
ENSG00000014164 249 313 342 167 393 241 277 568 243
ENSG00000014216 1825 1387 3021 1236 1431 1078 581 2420 1125
ENSG00000014257 384 424 506 176 343 122 200 583 474
ENSG00000014641 230 221 180 247 343 201 299 521 275
ENSG00000014824 256 303 312 292 350 136 289 513 338
ENSG00000014914 212 199 164 164 251 122 118 234 239
ENSG00000014919 147 177 153 183 299 144 190 331 299
ENSG00000015133 1280 2362 1687 1804 3575 1177 3715 3403 2564
ENSG00000015153 200 204 108 201 267 118 176 275 164
ENSG00000015171 196 321 299 401 414 244 391 599 418
ENSG00000015285 1274 1518 1667 1031 1763 1532 1389 2562 1549
ENSG00000015475 350 454 491 625 703 548 465 685 602
ENSG00000015479 1576 1711 1355 1781 1923 839 1907 2899 1499
ENSG00000015532 165 167 218 145 270 146 185 254 181
ENSG00000015568 43 19 26 9 21 0 35 31 37
ENSG00000015592 0 0 3 0 0 2 0 0 0
ENSG00000015676 243 445 297 289 544 354 549 658 444
ENSG00000016082 0 0 0 0 0 0 0 0 0
ENSG00000016391 3 15 7 11 3 0 5 0 0
ENSG00000016602 0 0 0 0 0 0 0 0 0
ENSG00000016864 74 132 109 114 147 102 140 151 121
ENSG00000017260 479 376 642 409 498 289 355 728 427
ENSG00000017427 4 0 0 7 0 8 0 0 0
ENSG00000017483 36 7 10 89 71 53 53 52 24
ENSG00000017797 616 640 796 745 940 652 768 1205 745
ENSG00000018189 421 311 335 358 441 166 379 479 420
ENSG00000018280 2048 2050 2081 748 1336 374 1555 4493 1226
ENSG00000018408 7 0 6 5 26 1 14 11 0
ENSG00000018510 445 507 497 646 858 271 610 1024 520
ENSG00000018610 71 127 99 105 122 53 97 169 123
ENSG00000018699 67 87 71 107 133 78 147 174 95
ENSG00000018869 8 8 18 19 23 23 40 23 17
ENSG00000019102 45 25 55 8 22 27 13 28 16
ENSG00000019144 11 3 9 13 7 6 6 1 9
ENSG00000019169 132 156 153 58 214 82 131 140 168
ENSG00000019186 0 3 0 7 0 0 9 6 0
ENSG00000019485 23 58 26 27 55 65 81 56 87
